,price,percent_change,market_cap,vol_24h,id
KUNU,1e-12,0.57068,1164017,2598.56,kuramainu
DGX,35.49,-0.79658,1163660,1441.02,digix-gold
TFC,0.00017079,4.75696,1161066,3428.61,theflashcurrency
OST,0.00167333,-8.98962,1159353,39617.0,simple-token
POR,0.553437,-3.8471,1157024,8148.8,portugal-national-team-fan-token
YEED,0.00017399,,1156815,1692.33,yggdrash
SNET,0.00490797,-2.30095,1156623,53453.0,snetwork
DFSG,0.083075,-4.60661,1156101,31444.0,dfsocial-gaming-2
EYE,0.01241744,-5.62115,1155338,210553.0,media-eye
NSURE,0.04888544,-3.64647,1153644,468216.0,nsure-network
SMG,0.0329193,-2.25661,1152075,25493.0,smaugs-nft
CAVE,0.509977,-3.98966,1151990,28088.0,cave
SAK3,5755.66,-3.8253,1151133,575.57,sak3
DEFI+L,1.88,,1150947,0.0,piedao-defi-large-cap
GOF,0.109329,-8.49167,1149245,874660.0,golff
COMFI,1.13,0.05124,1147352,1357.96,complifi
GRIM,0.131251,-18.5508,1146324,20489.0,grimtoken
MYX,0.00134982,,1145315,0.0,myx-network
UNN,0.00184771,-7.02268,1136934,77574.0,union-protocol-governance-token
EXM,0.03062347,1.98985,1136125,106292.0,exmo-coin
MVP,0.00024185,-12.83892,1134261,225102.0,merculet
KDG,0.00495115,-4.86235,1129993,13784.07,kingdom-game-4-0
PAINT,9.75e-05,1.14364,1128224,27584.0,paint
HMQ,0.00597258,-4.88876,1126160,32964.0,humaniq
SOLX,0.02690555,-9.33725,1125615,1258437.0,soldex
PROPS,0.00418965,-11.20578,1123201,80340.0,props
KWT,0.01493921,-4.82076,1118256,13813.73,kawaii-islands
CAT,0.170855,2.26808,1114725,17636.91,cat-token
SENSE,0.00096749,-5.55703,1113621,10.52,sense
RYO,0.03064815,-2.47633,1110012,1497.5,ryo
CHI,0.02317799,-4.97929,1107806,809.03,chi-gastoken-bsc
UCASH,0.0001039,-34.24087,1103175,0.228576,ucash
DYOR,1.378e-05,-5.0091,1100503,3384.99,dyor
MOLA,0.00024675,-15.6251,1097751,364707.0,moonlana
QUA,0.00107861,0.04972,1096806,132890.0,quasacoin
DYNA,1.946e-09,-5.66782,1094423,85368.0,dynamix
POLP,0.01536256,6.36231,1091190,9359.13,polkaparty
LXF,0.181198,-0.5409,1085942,337713.0,luxfi
GSE,5.42e-05,-1.70038,1085514,520.05,gsenetwork
PHTR,0.119861,-1.05628,1085088,8013.07,phuture
XPM,0.04256689,-5.44507,1080293,763.05,primecoin
ALMX,108.01,,1080063,0.0,almace-shards
ML,0.347044,-17.47932,1076998,44522.0,market-ledger
BTB,0.00168525,1.29054,1075748,1585.84,bitball
CRYSTL,0.100414,-13.9815,1073224,19809.56,crystl-finance
ROCKI,0.135953,-0.92994,1072872,92152.0,rocki
ROYA,0.02661415,14.57459,1072554,26555.0,royale
SPN,0.00318162,0.0,1072360,0.0,sapien
HPB,0.02826235,-4.31941,1071895,256046.0,high-performance-blockchain
LEAD,0.00235951,8.06172,1071561,6033.31,lead-token
COL,0.00024199,,1070878,60.56,unit-protocol
IBZ,0.00109055,-3.56806,1063935,204.84,ibiza-token
LORD,0.00122636,0.20299,1059644,46960.0,overlord
USDAP,0.972035,,1057604,0.0,bondappetite-usd
BITORB,0.02404068,-5.30429,1056864,3051.48,bitorbit
MFI,0.1505,0.84736,1055061,3351.5,marginswap
WATCH,0.107631,-2.35882,1054840,6970.63,yieldwatch
PRT,0.00625742,-1.30203,1048040,1050.11,portion
